"doi","title","journal","last_updated_epoch","publisher_field","paper_field","attention_score"
"10.1002/bit.20185","Protein engineering of toluene 4-monooxygenase ofPseudomonas mendocina KR1 for synthesizing 4-nitrocatechol from nitrobenzene","Biotechnology & Bioengineering","1274745600","Multidisciplinary","Biochemistry, Genetics and Molecular Biology",3
"10.1103/physrevb.98.094423","Magnetism of the
                    N=42
                    kagome lattice antiferromagnet","arXiv","1537888001",NA,NA,0.5
"10.3807/hkh.2009.20.3.175","TIR Holographic lithography using Surface Relief Hologram Mask",NA,"1391040000",NA,NA,3
"10.1103/physrevd.98.123511","Inflationary scale, reheating scale, and pre-BBN cosmology with scalar fields","arXiv","1531803326",NA,NA,7.33
"10.1111/jfd.12332","Ostreid herpesvirus OsHV-1 μVar in Pacific oysters
                    Crassostrea gigas
                    (Thunberg 1793) of the Wadden Sea, a UNESCO world heritage site","Journal of Fish Diseases","1433376000","Zoology","Veterinary",3
"10.3390/molecules24071227","In Vitro and In Situ Characterization of the Intestinal Absorption of Capilliposide B and Capilliposide C from Lysimachia capillipes Hemsl","Molecules","1554024001","Organic Chemistry","Physical Sciences",0.25
"10.1016/s1474-4422(16)00065-x","Epigenetics of dementia: understanding the disease as a transformation rather than a state","Lancet Neurology","1480010137","Clinical Sciences","Medicine",14
"10.1097/00002030-199109000-00004","The expression of Fc receptors for immunoglobulin G in human rectal epithelium","AIDS","948326400","Biological Sciences","Medicine",3
"10.1093/heapro/dau007","Binge drinking at University: a social network study in Belgium","Health Promotion International","1552722440","Public Health And Health Services","Medicine",24.35
"10.1371/journal.pone.0046386","Sorting Signals That Mediate Traffic of Chitin Synthase III between the TGN/Endosomes and to the Plasma Membrane in Yeast","PLoS ONE","1349298210","Multidisciplinary","Biochemistry, Genetics and Molecular Biology",0.25
"10.1259/bjr.20140372","4D radiobiological modelling of the interplay effect in conventionally and hypofractionated lung tumour IMRT","British Journal of Radiology","1425710150","Clinical Sciences","Medicine",0.5
"10.1002/aenm.201870129","Electrocatalysts: Nanometric Ni5 P4 Clusters Nested on NiCo2 O4 for Efficient Hydrogen Production via Alkaline Water Electrolysis (Adv. Energy Mater. 29/2018)","Advanced Energy Materials","1540811370",NA,NA,0.25
"10.1016/s0021-9673(01)82093-8","Determination of chlorine and chlorine dioxide in workplace air by impinger collection and ion-chromatographic analysis","Journal of Chromatography A","1093996800","Chemical Sciences","Biochemistry, Genetics and Molecular Biology",3
"10.1163/22941932-00000011","Effect of Mid-Rotation Fertilization on Stiffness and Strength of Loblolly Pine Wood","IAWA Journal","1398179955",NA,NA,0.25
"10.1093/ije/dyh002","Inequality and leprosy in Northeast Brazil: an ecological study","International Journal of Epidemiology","1262304000","Statistics","Medicine",3
"10.1021/cn200110q","Muscarinic Acetylcholine Receptor Subtypes as Potential Drug Targets for the Treatment of Schizophrenia, Drug Abuse, and Parkinson’s Disease","ACS Chemical Neuroscience","1322493260",NA,NA,0.5
"10.1101/lm.036053.114","A review on human reinstatement studies: an overview and methodological challenges","Learning & Memory","1510908296","Medical And Health Sciences","Life Sciences",1
"10.1530/erc-18-0308","Association between DNA methylation profile and malignancy in follicular-patterned thyroid neoplasms","Endocrine-Related Cancer","1550091621","Medical And Health Sciences","Biochemistry, Genetics and Molecular Biology",0.25
"10.1016/j.injury.2018.11.019","Accidental external rotation of distal interlock jig in retrograde femoral nailing can lead to more prominent screws","Injury","1551292583","Clinical Sciences",NA,2.5
"10.4324/9781315775760","Visual, Narrative and Creative Research Methods",NA,"1531055962",NA,NA,27
"10.1073/pnas.1101765108","Elephants know when they need a helping trunk in a cooperative task","Proceedings of the National Academy of Sciences of the United States of America","1530544068","Multidisciplinary","General",97.592
"10.1016/j.colsurfb.2017.06.045","Evaluation of microencapsulation of the UFV-AREG1 bacteriophage in alginate-Ca microcapsules using microfluidic devices","Colloids & Surfaces B: Biointerfaces","1500425189","Physical Chemistry (Incl. Structural)","Biochemistry, Genetics and Molecular Biology",0.5
"10.1080/17425964.2016.1192034","Re/learning Student Teaching Supervision: A Co/autoethnographic Self-Study","Studying Teacher Education","1465399640","Specialist Studies In Education",NA,1
"10.1364/josab.36.000541","Three-dimensional nonlinear Stokes–Mueller polarimetry","Journal of the Optical Society of America. B, Optical Physics","1548999691","Optical Physics","Physical Sciences",0.25
"10.3389/fpsyg.2019.00020","Psychosocial Stress Before a Nap Increases Sleep Latency and Decreases Early Slow-Wave Activity","Frontiers in Psychology","1550043919","Psychology",NA,3.6
"10.1016/j.midw.2018.08.002","Factors influencing the implementation of advanced midwife practitioners in healthcare settings: A qualitative study","Midwifery","1538310603","Nursing","Medicine",0.5
"10.4236/wjet.2017.53b003","Identification of Patterns of Consumption through the Daily Mean Outdoor Temperature","World Journal of Engineering and Technology","1502679452",NA,NA,0.25
"10.2210/pdb1hg0/pdb","X-ray structure of the complex between Erwinia chrysanthemi L-asparaginase and succinic acid","Biochemistry","1521276277",NA,NA,0.25
"10.1287/orsc.2014.0962","Perspective—The Flaring of Intellectual Outliers: An Organizational Interpretation of the Generation of Novelty in the RAND Corporation","Organization Science","1482084000","Business And Management","Social Sciences",13.1
"10.1016/0006-3207(93)90229-t","The blue-cheeked amazon Amazona dufresniana: a review","Biological Conservation","1541990252","Environmental Sciences","Physical Sciences",3
"10.1039/p19750001421","Synthesis of active forms of vitamin D. Part IX. Synthesis of 1α,24-dihydroxycholecalciferol","Journal of the Chemical Society, Perkin Transactions 1","641001600",NA,NA,3
"10.1016/j.jcp.2015.09.034","Fast spectral solution of the generalized Enskog equation for dense gases","Journal of Computational Physics","1444141971","Mathematical Sciences","Physical Sciences",0.25
"10.1371/journal.pone.0112847","Population Structure of Geosmithia morbida, the Causal Agent of Thousand Cankers Disease of Walnut Trees in the United States","PLoS ONE","1416081334","Multidisciplinary","Biochemistry, Genetics and Molecular Biology",48.75
"10.1080/14626260601074110","
              
              —time, immersion and play in digital design for spatially-experienced interactive narrative
            ","Digital Creativity","1369402978","Information And Computing Sciences","Physical Sciences",1
"10.1177/0954407014561279","Topology, size and shape optimization of an automotive cross car beam","Proceedings of the Institution of Mechanical Engineers, Part D: Journal of Automobile Engineering","1417769531","Automotive Engineering","Physical Sciences",0.25
"10.1021/jp112235d","Direct Observations of Conformational Distributions of Intrinsically Disordered p53 Peptides Using UV Raman and Explicit Solvent Simulations","Journal of Physical Chemistry A","1327420707","Theoretical And Computational Chemistry","Physical Sciences",0.25
"10.1158/1078-0432.ccr-08-0647","Chemosensitivity and Stratification by a Five Monoclonal Antibody Immunohistochemistry Test in the NSABP B14 and B20 Trials","Clinical Cancer Research","1493078400","Oncology And Carcinogenesis","Biochemistry, Genetics and Molecular Biology",3
"10.1093/eurpub/ckx187.141","7.C. Workshop: Energy transition as a challenge for public health","European Journal of Public Health","1508653440","Public Health And Health Services","Medicine",5.08
"10.1016/j.jsams.2016.12.008","Patellofemoral pain: Using evidence to inform practice","Journal of Science and Medicine in Sport","1487545334","Human Movement And Sports Science","Medicine",0.25
"10.1101/sqb.1993.058.01.033","Functions for DNA Methylation in Vertebrates","Cold Spring Harbor Symposia on Quantitative Biology","970531200","Biochemistry And Cell Biology","Biochemistry, Genetics and Molecular Biology",3
"10.1089/ten.teb.2015.0014","Regenerative Medicine Strategies for Esophageal Repair.","Tissue Engineering, Part B:  Reviews","1474469670","Biochemistry And Cell Biology","Biochemistry, Genetics and Molecular Biology",2.35
"10.1371/journal.pone.0100016","Prion Protein Interaction with Soil Humic Substances: Environmental Implications","PLoS ONE","1495056026","Multidisciplinary","Biochemistry, Genetics and Molecular Biology",1.25
"10.1073/pnas.94.13.6646","Defective prohormone processing and altered pancreatic islet morphology in mice lacking active SPC2","Proceedings of the National Academy of Sciences of the United States of America","1507593600","Multidisciplinary","General",9
"10.1037/cou0000100","Self-critical perfectionism, daily stress, and disclosure of daily emotional events.","Journal of Counseling Psychology","1473143447","Psychology","Health Sciences",1.5
"10.1037/pas0000069","Development of a composite trauma exposure risk index.","Psychological Assessment","1475056570","Psychology","Health Sciences",3.75
"10.1016/j.molbiopara.2005.01.011","Characterization of two T. gondii CK1 isoforms","Molecular & Biochemical Parasitology","1267488000","Biological Sciences","Biochemistry, Genetics and Molecular Biology",3
"10.1136/medhum-2017-011404","‘The few cubic centimetres inside your skull’: a neurological reading of George Orwell’s
                    Nineteen Eighty-Four","Medical Humanities","1530022641","Other Medical And Health Sciences","Arts and Humanities",8.08
"10.1007/s00436-018-6126-x","Current scenario and future strategies to fight artemisinin resistance","Parasitology Research","1543810669","Microbiology","Health Sciences",1
"10.1007/s11274-017-2252-3","Microbial fuel cell characterisation and evaluation of Lysinibacillus macroides MFC02 electrigenic capability","World Journal of Microbiology & Biotechnology","1491819217","Biological Sciences","Biochemistry, Genetics and Molecular Biology",0.25
"10.1016/s0957-4166(00)82198-9","A new preparative method for optically active diarylcarbinols","Tetrahedron: Asymmetry","1450897060","Organic Chemistry","Chemical Engineering",6
"10.3892/ijo.2014.2310","JAK/STAT3 signaling is required for TGF-β-induced epithelial-mesenchymal transition in lung cancer cells.","International Journal of Oncology","1393753126","Oncology And Carcinogenesis","Biochemistry, Genetics and Molecular Biology",0.5
"10.1002/dc.23825","Pitfalls in the cytological diagnosis of tenosynovial giant cell tumor: An illustration of eight discordant cases","Diagnostic Cytopathology","1510453967","Clinical Sciences","Medicine",2.25
"10.1017/iop.2018.18","Intersectionally Insufficient: A Necessary Expansion of the Social-Structural Lens","Industrial & Organizational Psychology","1532901589","Psychology",NA,4.1
"10.1007/s10554-012-0176-4","Non-calcified coronary atherosclerotic plaque visualization on CT: effects of contrast-enhancement and lipid-content fractions","The International Journal of Cardiovascular Imaging (formerly Cardiac Imaging)","1391862968","Cardiology","Medicine",0.5
"10.1177/0090591716672233","Book Review: How Propaganda Works, by Jason Stanley","Political Theory","1513587004","Political Science","Social Sciences",0.5
"10.3736/jcim20070112","Effect and mechanism of salvianolic acid B in attenuating elevated portal pressure in a rat model of portal hypertension induced by endothelin-1","Zhong xi yi jie he xue bao Journal of Chinese integrative medicine","1324339200","Complementary And Alternative Medicine","Medicine",6
"10.1046/j.1471-4159.1997.68030991.x","Lysophosphatidic Acid Increases Tight Junction Permeability in Cultured Brain Endothelial Cells","Journal of Neurochemistry","1208995200","Neurosciences","Biochemistry, Genetics and Molecular Biology",3
"10.1080/15476910500182541","Tetrachlorodibenzo-p-Dioxin (TCDD) Inhibits Differentiation and Increases Apoptotic Cell Death of Precursor T-Cells in the Fetal Mouse Thymus","Journal of Immunotoxicology","1536624000",NA,"Life Sciences",6
"10.1007/s10096-018-3275-x","Subsequent infection with extended-spectrum β-lactamase-producing Enterobacteriaceae in patients with prior infection or fecal colonization","European Journal of Clinical Microbiology & Infectious Diseases","1527674506","Biological Sciences","Medicine",0.5
"10.1016/j.psyneuen.2018.03.011","Young adults’ psychological and physiological reactions to the 2016 U.S. presidential election","Psychoneuroendocrinology","1550696359","Medical And Health Sciences","Biochemistry, Genetics and Molecular Biology",90.592
"10.1002/ijc.2910100205","Intensive chemotherapy in patients with generalized Burkitt's lymphoma","International Journal of Cancer","1468972800","Oncology And Carcinogenesis","Medicine",3
"10.1039/f19898501451","Adsorption of carbon monoxide and carbon dioxide on cerium oxide studied by Fourier-transform infrared spectroscopy. Part 2.—Formation of formate species on partially reduced CeO2 at room temperature","Journal of the Chemical Society, Faraday Transactions 1: Physical Chemistry in Condensed Phases","1546159181",NA,NA,5.08
"10.1186/s12870-015-0669-0","The impacts of polyploidy, geographic and ecological isolations on the diversification of Panax (Araliaceae)","BMC Plant Biology","1467454930","Microbiology","Agricultural and Biological Sciences",1.5
"10.1111/nph.12400","High temperature causes negative whole-plant carbon balance under mild drought","New Phytologist","1377271751","Biological Sciences","Medicine",0.75
"10.1126/science.1069346","Probing Protein Electrostatics with a Synthetic Fluorescent Amino Acid","Science","1447113600",NA,"General",4
"10.1007/s10570-011-9628-6","Selective recovery of gold(III) using cotton cellulose treated with concentrated sulfuric acid","Cellulose","1379376000","Macromolecular And Materials Chemistry","Materials Science",3
"10.1109/ccst.2010.5678677","The security telecommunication system of the Vatican City State",NA,"1503083640",NA,NA,1.85
"10.1016/j.annpat.2014.06.002","Pathologie de la vésicule biliaire et des voies biliaires extrahépatiques. Cas no 6. Cholangiocarcinome hilaire bien différencié pT2bN1","Annales de Pathologie (ScienceDirect)","1431512592","Clinical Sciences","Medicine",0.25
"10.1001/jama.194.3.248","An inactivated mycoplasma pneumoniae vaccine","JAMA: Journal of the American Medical Association","0","Medical And Health Sciences","Medicine",3
"10.1111/jocs.13974","Minimally invasive management of central ECMO after ascending aortic surgery","Journal of Cardiac Surgery","1552400832","Clinical Sciences","Medicine",5.2
"10.1109/tnsre.2017.2700025","Spelling With a Small Mobile Brain-Computer Interface in a Moving Wheelchair","IEEE Transactions on Neural Systems and Rehabilitation Engineering","1513101987","Biomedical Engineering","Medicine",2.45
"10.1161/01.atv.0000133193.11078.c0","Enhanced P2X 7 Activity in Human Fibroblasts From Diabetic Patients","Arteriosclerosis, Thrombosis, and Vascular Biology (Highwire)","1534809600","Clinical Sciences","Medicine",3
"10.2216/16-18.1","Pinnularia catenaborealis sp. nov. (Bacillariophyceae), a unique chain-forming diatom species from James Ross Island and Vega Island (Maritime Antarctica)","Phycologia","1553445239","Biological Sciences","Agricultural and Biological Sciences",4.7
"10.1021/acschemneuro.8b00370","Analgesic Effects of the GIRK Activator, VU0466551, Alone and in Combination with Morphine in Acute and Persistent Pain Models","ACS Chemical Neuroscience","1543326249",NA,NA,1
"10.1007/s11869-017-0459-y","Particulate matter in urban areas of south-central Chile exceeds air quality standards","Air Quality, Atmosphere & Health","1524260113","Atmospheric Protection/Air Quality Control/Air Pollution","Environmental Science",3.85
"10.1111/j.1474-9726.2006.00224.x","Insulin resistance, oxidative stress, hypertension, and leukocyte telomere length in men from the Framingham Heart Study","Aging Cell","1532180818","Medical And Health Sciences","Biochemistry, Genetics and Molecular Biology",1
"10.2460/ajvr.77.11.1227","Quantitative analysis of brain perfusion in healthy dogs by means of magnetic resonance imaging","American Journal of Veterinary Research","1480110041","Agricultural And Veterinary Sciences","Veterinary",2.1
"10.2337/db16-1320","Indirect Regulation of Endogenous Glucose Production by Insulin: The Single Gateway Hypothesis Revisited","Diabetes","1543357923","Medical And Health Sciences","Medicine",3.35
"10.1016/j.theriogenology.2017.05.008","Leptin supplementation in vitro improved developmental competence of buffalo oocytes and embryos","Theriogenology","1497404642","Medical And Health Sciences","Veterinary",0.75
"10.3109/15412555.2013.765839","Liver Disease in Alpha-1 Antitrypsin Deficiency: Current Understanding and Future Therapy","COPD: Journal of Chronic Obstructive Pulmonary Disease","1529971200",NA,"Medicine",6
"10.1039/c8fo02431f","The nanoencapsulation of curcuminoids extracted from Curcuma longa L. and an evaluation of their cytotoxic, enzymatic, antioxidant and anti-inflammatory activities","Food & Function","1548791511","Food Sciences",NA,0.25
"10.1016/j.tem.2017.06.001","The Significance of Epidermal Lipid Metabolism in Whole-Body Physiology","Trends in Endocrinology & Metabolism","1504275828","Clinical Sciences","Biochemistry, Genetics and Molecular Biology",1.25
"10.1016/j.aquaculture.2018.04.063","Identification and pathogenicity of  Plesiomonas shigelloides  in Silver Carp","Aquaculture","1526543260","Fisheries Sciences","Agricultural and Biological Sciences",0.25
"10.1021/bm0605560","Thermoreversible Protein Hydrogel as Cell Scaffold","Biomacromolecules","1554585500","Chemical Sciences","Materials Science",6
"10.1002/aja.1001970105","Differential expression of thrombospondin 1, 2, and 3 during murine development","Developmental Dynamics","1179792000","Medical And Health Sciences","Biochemistry, Genetics and Molecular Biology",3
"10.1002/ange.201206359","Dynamic Photo-Switching in Metal-Organic Frameworks as a Route to Low-Energy Carbon Dioxide Capture and Release","Angewandte Chemie","1361310275","Chemical Sciences",NA,15
"10.1007/s00339-008-5018-9","Dating study of two rock crystal carvings by surface microtopography and by ion beam analyses of hydrogen","Applied Physics A: Materials Science & Processing","1415404656","Characterization and Evaluation of Materials","Materials Science",10
"10.1086/192173","A statistical distance scale for Galactic planetary nebulae","The Astrophysical Journal Supplement Series","1366306980","Astronomical And Space Sciences","Earth and Planetary Sciences",9
"10.1021/acs.jmedchem.5b01933","Synthesis and Anti-Influenza Activity of Pyridine, Pyridazine, and Pyrimidine
                    C
                    -Nucleosides as Favipiravir (T-705) Analogues","Journal of Medicinal Chemistry","1462288514","Medicinal And Biomolecular Chemistry","Biochemistry, Genetics and Molecular Biology",0.5
"10.1080/00034983.1979.11687298","Bancroftian filariasis and other parasitic infections in the Middle Fly River region of Western Papua New Guinea","Annals of Tropical Medicine & Parasitology","1041379200",NA,NA,3
"10.1016/j.molimm.2017.01.005","Epitope-dependent mechanisms of CD27 neutralization revealed by X-ray crystallography","Molecular Immunology","1522281600","Immunology","Biochemistry, Genetics and Molecular Biology",3
"10.1186/s13054-017-1928-2","Perioperative fluid management in kidney transplantation: a black box","Critical Care","1525279657","Medical And Health Sciences","Medicine",30.15
"10.1097/01.hj.0000503459.97846.5d","Auditory Brain Development in Children With Hearing Loss – Part One","The Hearing Journal","1495594074",NA,NA,36.25
"10.1109/tsp.2003.814461","Optimal estimation of multicast membership","IEEE Transactions on Signal Processing","1421193600","Multidisciplinary","Physical Sciences",3
"10.1093/nar/gky344","Single-site DNA cleavage by Type III restriction endonuclease requires a site-bound enzyme and a trans-acting enzyme that are ATPase-activated","Nucleic Acids Research","1530513225","Environmental Sciences","Biochemistry, Genetics and Molecular Biology",0.25
"10.1016/j.suc.2018.07.003","Enhanced Recovery After Surgery","Surgical Clinics of North America","1543432036","Clinical Sciences","Medicine",3.2
"10.2317/jkes130131.1","A Critical View of Colony Losses in Managed Mayan Honey-Making Bees (Apidae: Meliponini) in the Heart of Zona Maya","Journal of the Kansas Entomological Society","1542250153","Zoology","Agricultural and Biological Sciences",152
"10.1136/bmj.f3001","Roche continues to drag its feet on access to Tamiflu data","British Medical Journal","1369371395","Public Health And Health Services","Medicine",2.5
"10.1088/1748-0221/11/07/p07011","Single-hit resolution measurement with MEG II drift chamber prototypes","Journal of Instrumentation","1500030936",NA,"Mathematics",0.5
"10.1046/j.1442-9071.2002.00572.x","Analysis of the Arg345Trp disease-associated allele of the EFEMP1 gene in individuals with early onset drusen or familial age-related macular degeneration","Clinical & Experimental Ophthalmology","1198029689","Clinical Sciences","Medicine",3
"10.1186/1471-2377-12-43","Japanese encephalitis accompanied by cerebral venous sinus thrombosis: a case report","BMC Neurology","1340125323","Neurosciences","Medicine",0.75
"10.1093/jmedent/5.4.483","Identification of the Host Range of Culex Tritaeniorhynchus Mosquitoes on Okinawa, Ryukyu Islands1","Journal of Medical Entomology","1259971200","Medical And Health Sciences","Veterinary",3
"10.1088/1751-8121/aaee1f","Multipartite entanglement in spin chains and the hyperdeterminant","Journal of Physics: A Mathematical & Theoretical","1542893632","Mathematical Sciences","Mathematics",4.35
"10.1016/j.schres.2018.05.012","Developmental vulnerability to psychosis: Selective aggregation of basic self-disturbance in early onset schizophrenia","Schizophrenia Research","1527281024","Medical And Health Sciences","Health Sciences",0.25
"10.1093/ref:odnb/3730","The Oxford Dictionary of National Biography",NA,"1246059437",NA,NA,3
"10.1021/jo00425a011","Rate enhancement of the Meerwein-Ponndorf-Verley-Oppenauer reaction in the presence of proton acids","Journal of Organic Chemistry","994118400","Medicinal And Biomolecular Chemistry","Physical Sciences",6
"10.1016/0168-3659(85)90032-x","Physico-chemical properties of water insoluble polymers important to mucin/epithelial adhesion","Journal of Controlled Release","1499904000","Biomedical Engineering","Life Sciences",6
"10.1021/acs.jafc.5b00147","Quality Evaluation of Terpinen-4-ol-Type Australian Tea Tree Oils and Commercial Products: An Integrated Approach Using Conventional and Chiral GC/MS Combined with Chemometrics","Journal of Agricultural & Food Chemistry","1426083331","Chemical Sciences","Physical Sciences",0.5
"10.3402/meo.v18i0.22684","An advisory program for first- and second-year medical students: the Weill Cornell experience","Medical Education Online","1386273351","Public Health And Health Services",NA,1.75
"10.1177/0891243212472390","“It’s Not Fair!” : Discursive Politics, Social Justice and Feminist Praxis, SWS Feminist Lecture","Gender & Society","1364913145","Commerce, Management, Tourism And Services","Social Sciences",3.8
"10.1007/s00414-013-0885-9","Legal medicine contributions to patient safety. From ascertainment and evaluation to research in medical liability","International Journal of Legal Medicine","1388476029","Forensic Medicine","Medicine",0.5
"10.1103/physrevlett.110.186402","Modifying the Electronic Orbitals of Nickelate Heterostructures via Structural Distortions","Physical Review Letters","1379200627","Physical Sciences","Physical Sciences",1
"10.1111/imj.12895","Discharge documentation improvement project: a pilot study","Internal Medicine Journal","1441858375","Clinical Sciences","Medicine",1
"10.1016/0022-1031(68)90050-4","Attitude change as a function of felt competence and threat to attitudinal freedom","Journal of Experimental Social Psychology","1406500500","Psychology","Psychology",5.128
"10.1038/nchembio.1538","Non-coding RNA: Lost on translation","Nature Chemical Biology","1400267497","Medicinal And Biomolecular Chemistry","Biochemistry, Genetics and Molecular Biology",0.25
"10.3389/fpsyg.2015.01504","Wh-filler-gap dependency formation guides reflexive antecedent search","Frontiers in Psychology","1444647539","Psychology",NA,3.2
"10.1126/scisignal.2002790","The Transcription Factor TFEB Links mTORC1 Signaling to Transcriptional Control of Lysosome Homeostasis","Science Signaling","1545143190","Biochemistry And Cell Biology","Medicine",7.85
"10.1016/j.antiviral.2011.10.015","CpG and poly(I:C) stimulation of dendritic cells and fibroblasts limits herpes simplex virus type 1 infection in an IFNβ-dependent and -independent way","Antiviral Research","1394668800","Medical Microbiology","Life Sciences",3
"10.1080/01419870.2013.808754","Has multiculturalism failed in Britain?","Ethnic and Racial Studies","1533537225","Multidisciplinary","Social Sciences",16.6
"10.3390/socsci5030026","The Impact of Sanctions and Neo-Liberalism on Women’s Organising in Iran","Social Sciences ","1466687415",NA,NA,1
"10.1038/news030922-17","Dog genome unveiled","Nature","1526328733",NA,"General",13
"10.3390/brainsci8040058","Exploration of the Use of New Psychoactive Substances by Individuals in Treatment for Substance Misuse in the UK","Brain Sciences","1528242309",NA,NA,8.9
"10.1007/978-1-4899-1600-6","Forest Development in Cold Climates",NA,"1500816467",NA,NA,3
"10.1016/j.ins.2006.12.026","Cognitive high level information fusion","Information Sciences","1395705600",NA,"Physical Sciences",3
"10.1080/08820530802007333","Laparoscopic-assisted lumboperitoneal shunt placement for idiopathic intracranial hypertension.","Seminars in Ophthalmology","1379189577",NA,"Medicine",3
"10.1108/cg-10-2013-0112","The Wal-Mart affair – where implausible deniability is the coin of the realm","Corporate Governance - an International Review ","1437937697","Business And Management","Social Sciences",2.1
"10.1107/s1600536806044680","5-(2-Hydroxyphenyl)-4-(4-methoxyphenyl)-3-(4-methylphenyl)-4
                    H
                    -1,2,4-triazole","Acta Crystallographica: Section E (International Union of Crystallography - IUCr)","1381363200","Chemical Sciences","Materials Science",3
"10.1097/mca.0000000000000235","Impact of increased admission lipid levels on periprocedural myocardial injury following an elective percutaneous coronary intervention","Coronary artery disease","1431809850","Clinical Sciences","Medicine",0.75
"10.1007/s10488-017-0799-9","Mapping “Trauma-Informed” Legislative Proposals in U.S. Congress","Administration & Policy in Mental Health & Mental Health Services Research","1504278051","Clinical Psychology","Medicine",0.5
"10.1038/nn886","Spatiotemporal mechanisms for detecting and identifying image features in human vision","Nature Neuroscience","1475539200","Neurosciences","Life Sciences",4
"10.4172/2472-1042.1000110","The Seven Myths of Health and Health Care","Pharmacoeconomics: Open Access","1528850820",NA,NA,1.25
"10.1016/j.resuscitation.2015.02.014","What CPR means to surrogate decision makers of ICU patients","Resuscitation","1447254398","Clinical Sciences","Medicine",11.85
"10.1007/s00449-012-0852-8","Mathematical modelling and process optimization of a continuous 5-stage bioreactor cascade for production of poly[-(R)-3-hydroxybutyrate] by Cupriavidus necator.","Bioprocess and Biosystems Engineering","1352594194","Biotechnology","Biochemistry, Genetics and Molecular Biology",0.25
"10.1002/rcm.2030","Development of a multiresidue method for analysis of majorFusarium mycotoxins in corn meal using liquid chromatography/tandem mass spectrometry","Rapid Communications in Mass Spectrometry","1325376000","Chemical Sciences","Physical Sciences",3
"10.2144/btn-2018-0183","Rapid identification of genome-edited mesenchymal stem cell colonies via Cas9","Biotechniques","1554757254","Biological Sciences","Biochemistry, Genetics and Molecular Biology",2.2
"10.1021/nl500568d","Nanometer Thick Elastic Graphene Engine","Nano Letters","1518753712","Multidisciplinary","Materials Science",29.348
"10.1038/nature.2017.22476","Martian weather kicks into high gear at night","Nature","1504124426",NA,"General",235.6
"10.1186/1750-1172-3-12","McCune-Albright syndrome","Orphanet Journal of Rare Diseases","1524498595","Other Medical And Health Sciences","Medicine",3
"10.1016/j.jmb.2011.08.012","HuCAL PLATINUM, a Synthetic Fab Library Optimized for Sequence Diversity and Superior Performance in Mammalian Expression Systems","Journal of Molecular Biology","1527552000","Biochemistry And Cell Biology","Biochemistry, Genetics and Molecular Biology",9
"10.1136/bmj.e2072","Manjusha Ravindra Gokhale","British Medical Journal","1332848711","Public Health And Health Services","Medicine",0.25
"10.1016/j.sleep.2015.02.540","Serum cytokine levels in Kleine–Levin syndrome","Sleep Medicine","1461408976","Clinical Sciences","Medicine",2
"10.1017/s0075435818000874","Roman Studies and Digital Resources","Journal of Roman Studies","1549670196","Language, Communication And Culture","Social Sciences",44.75
"10.1080/03643107.2012.658536","Evidence-Based Principles for Choosing Programs To Serve Parents in the Child Welfare System","Human Service Organizations: Management, Leadership & Governance","1367509121","Social Work","Social Sciences",0.25
"10.1085/jgp.201110622","The anthrax toxin channel: a barrel of LFs","Journal of General Physiology","1301429335","Physiology","Biochemistry, Genetics and Molecular Biology",0.25
"10.1007/978-3-319-92853-1","Water Resources in Slovakia: Part I",NA,"1547820105",NA,NA,2
"10.1097/bco.0000000000000578","Prior staphylococcal bacteremia and risk of surgical site infection after total joint arthroplasty","Current Orthopaedic Practice","1538999720",NA,"Medicine",1.35
"10.1146/annurev.ento.47.091201.145234","Biochemistry and Genetics of Insect Resistance to Bacillus thuringiensis","Annual Review of Entomology","1516752000","Zoology","Agricultural and Biological Sciences",9
"10.1007/s10508-015-0565-6","Gender Nonconformity, Discrimination, and Mental Health Among Black South African Men Who Have Sex with Men: A Further Exploration of Unexpected Findings","Archives of Sexual Behavior","1434567921","Psychology","Psychology",0.25
"10.5215/pennmaghistbio.140.3.0426","Tracing Filipino Philadelphia in the Pedro Supelana Papers","Pennsylvania Magazine of History & Biography","1483379764","Historical Studies","Social Sciences",0.5
"10.1017/s0021853700012779","‘He swalloweth the ground with fierceness and rage’ the horse in the Central Sudan II. Its use","Journal of African History","1331810437","Historical Studies","Social Sciences",3
"10.1016/0022-0248(72)90051-6","Preparation of In2O3 single-crystals via chemical transport reaction","Journal of Crystal Growth","1383177600","Macromolecular And Materials Chemistry","Materials Science",3
"10.1371/journal.pone.0179162","The effects of different frequency treadmill exercise on lipoxin A4 and articular cartilage degeneration in an experimental model of monosodium iodoacetate-induced osteoarthritis in rats","PLoS ONE","1498176000","Multidisciplinary","Biochemistry, Genetics and Molecular Biology",0.25
"10.1016/s0010-8545(98)00157-x","Toward the development of metal-based synthetic nucleases and peptidases: a rationale and progress report in applying the principles of coordination chemistry","Coordination Chemistry Reviews","1283212800","Inorganic Chemistry","Physical Sciences",3
"10.1080/00397919308011233","The Preparation and Utilization of 2-Ethylallyl Alcohol Dianions in
                    α
                    -Alkylidene Lactone Synthesis","Synthetic Communications","1110844800","Organic Chemistry","Physical Sciences",9
"10.1016/j.ceb.2013.12.003","The good and the bad of being connected: the integrons of aging","Current Opinion in Cell Biology","1399547106","Biochemistry And Cell Biology","Biochemistry, Genetics and Molecular Biology",1.5
